ID,    законодательных,    исполнительных,    судебной власти и прокуратуры,    других 
2000, 15,5, 1027,4, 115,2, 3,1
2001, 19,2, 981,4, 134,3, 3,5
2002, 20,4, 1070,2, 153,9, 5,5
2003, 21,7, 1100,4, 168,5, 7,4
2004, 22,9, 1100,7, 184,5, 7,9
2005, 24,4, 1234,4, 192,8, 8,3
2006, 26,1, 1342,6, 197,1, 9,3
2007, 27,9, 1385,4, 197,6, 10,8
2008, 31,8, 1420,6, 203,4, 12,9
2009, 31,8, 1415,1, 212,6, 13,1
